Titulo;Relator;Data de publicação;Data de julgamento;Órgão julgador;Ementa
HC 72565;SEPÚLVEDA PERTENCE;30/08/1996;10/05/1995;Tribunal Pleno;"E M E N T A - I. STF: competência originária (art.102, I, d) ""habeas-corpus"" contra decisão do próprio Tribunal, emquestão de ordem mediante a qual o Presidente submeteu ao Plenárioincidente de execução de pena, de sua competência individual.               II. Execução penal: regime de cumprimento de penaprivativa de liberdade: progressão para o regime aberto do condenadoao regime inicial semi-aberto ou autorização para o trabalhoexterno: submissão, em ambas as hipóteses, ao cumprimento do mínimode um sexto da pena aplicada (LEP, art. 112; CP, art. 35, § 2º eLEP, arts. 36 e 37): cômputo, na verificação desse requisitotemporal mínimo, do todo o tempo de prisão processual, incluído oanterior à sentença condenatória: exigência, porém, de examecriminológico antes da decisão sobre a permissão de trabalho externoou a progressão do regime."
HC 72061;CARLOS VELLOSO;09/06/1995;26/04/1995;Tribunal Pleno;"EMENTA:  PENAL. PROCESSUAL PENAL. ""HABEAS CORPUS"". PRISÃODECORRENTE DE CONDENAÇÃO AINDA PENDENTE DE RECURSO.            I.  - Não configura  constrangimento ilegal o fato de réucondenado aguardar na prisão o julgamento dos recursos que interpos.            II.  - O Supremo Tribunal decidiu, pelo seu Plenário, quea  prisão de réu condenado  por decisão ainda pendente de recurso nãoafronta  o princípio  da presunção  de não  culpabilidade previsto noart. 5., LVII, da Constituição.            III. - H.C. indeferido."
HC 72082;FRANCISCO REZEK;01/03/1996;19/04/1995;Tribunal Pleno;EMENTA:   EXPULSAO.   DECRETO   PRESIDENCIAL.   MANDADO   DESEGURANÇA.    CONVERSAO   EM    HABEAS   CORPUS.    ATO   EXPULSORIO.DISCRICIONARIEDADE  MITIGADA. POSSIBILIDADE DE RECURSO ADMINISTRATIVOE  JUDICIARIO. CAUSA EXCLUDENTE  DA EXPULSABILIDADE: FILHO BRASILEIRODEPENDENTE DA ECONOMIA PATERNA. NÃO DEMONSTRADA. PEDIDO INDEFERIDO.         I.  O  meio  processual adequado  para  se  impugnar decretoexpulsorio  e o  habeas corpus.  Assim se  firmou a jurisprudência doSupremo,  seja porque  o  expulsando via  de  regra esta  preso, sejaporque  se trata  de remedio  mais expedito.  Conversão do mandado desegurança  originalmente interposto em habeas corpus. Prejudicada, emconsequencia, a ação mandamental.         II.  A expulsão e ato discricionario do Poder Executivo. Nãose  admite, no entanto, ofensa a lei e falta de fundamentação. Contrao  ato expulsorio são  possiveis recurso  administrativo -- pedido dereconsideração  -- e  apelo  ao Poder  Judiciario.  Quanto a  este, oescopo  de intervenção e muito estreito. Cuida o judiciario apenas doexame  da conformidade do ato com a legislação vigente. Não examina aconveniencia  e  a  oportunidade  da  medida,  circunscrevendo-se  namatéria  de  direito:  observancia  dos  preceitos  constitucionais elegais  (HHCC 58.926  - RTJ  98/1045  e 61.738  - RTJ  110/650, entreoutros).         III.  O fator  familiar  -- filha  brasileira  dependente daeconomia  paterna  --, pretendidamente  impeditivo  da  expulsão, nãoresultou  comprovado. Para  que se  invoque o  artigo 75-II-b  da Lei6.815/80  (com a redação  dada pela Lei  6.964/81) e preciso provar adependência  e a efetiva assistencia proporcionada pelo estrangeiro aprole  brasileira. Não  se aplica,  pois,  a espécie  o verbete  1 daSúmula de Jurisprudência do Supremo Tribunal Federal.         IV.  A expulsão, conforme dispõe  o artigo 67 do Estatuto doEstrangeiro,  podera efetivar-se  ainda  que haja  processo  ou tenhaocorrido  condenação. Neste caso,  só o  presidente da Republica podeprecipitar a efetivação da medida (HC 61.020 - RTJ 107/169).         V.  A adoção  ou reconhecimento  de prole  superveniente aosfatos que motivaram o decreto presidencial não impede, a vista do quedispõe  o paragrafo 1.  do artigo 75  da Lei dos Estrangeiros, que seconsume a expulsão (HC 68.324 - RTJ 138/785).         Habeas corpus indeferido.
HC 72207;NÉRI DA SILVEIRA;03/03/2000;08/03/1995;Tribunal Pleno;EMENTA: Habeas corpus. 2. Crime eleitoral.Processando-se no TRE-AP, ação penal contra deputado estadual eco-réus, entre eles, a paciente, por crime eleitoral, competente é aCorte Regional, por intermédio do colegiado ou do relator, para asprovidências de índole processual, inclusive a decretação de prisãocautelar de acusado. 3. Decreto de prisão preventiva da pacientesuficientemente fundamentado. 4. Releva anotar, ainda, que os bonsantecedentes da paciente poderão, no curso do processo, conduzir aCorte Regional a revogar a prisão preventiva decretada, se, apósouvida em Juízo, entender o TRE não mais subsistirem as razões que,a esta altura do processo, com base em lei, justificaram o decretojudicial atacado. 5. Habeas corpus indeferido.
HC 72078;CELSO DE MELLO;17/03/1995;08/03/1995;Tribunal Pleno;E  M E  N  T A:  HABEAS  CORPUS -  DECRETO  PRESIDENCIAL QUEAUTORIZA  A IMEDIATA ENTREGA  DO EXTRADITANDO  AO ESTADO REQUERENTE -IMPETRAÇÃO  DO WRIT COM  A FINALIDADE DE  ASSEGURAR AO EXTRADITANDO ODIREITO  DE OPOR EMBARGOS DE  DECLARAÇÃO AO ACÓRDÃO PROFERIDO EM SEDEEXTRADICIONAL  -  FUNDAMENTO  RELEVANTE   -  INTERPRETAÇÃO  DA  NORMAINSCRITA  NO ART.  83  DO ESTATUTO  DO  ESTRANGEIRO -  MEDIDA LIMINARCONCEDIDA - ULTERIOR JULGAMENTO E REJEIÇÃO DOS EMBARGOS DE DECLARAÇÃO- HC PREJUDICADO.         -  A   jurisprudência  do   Supremo  Tribunal   Federal  temproclamado  a  idoneidade jurídico-processual  do  remedio  de habeascorpus  para obstar a  tramitação de processo extradicional no âmbitodesta  Corte (RTJ 75/98)  e, até mesmo,  para impedir a efetivação dapropria extradição ja deferida pelo Tribunal (RTJ 69/44).         -  Superados os  motivos de  direito ou  de fato  que podiamconfigurar  situação  de  injusto   constrangimento  a  liberdade  delocomoção  física  do  paciente,   e  afastada,  em  consequencia,  apossibilidade  de ofensa ao seu  status libertatis, há que se reputarprejudicada a ação de habeas corpus. Precedentes.
HC 72391 QO;CELSO DE MELLO;17/03/1995;08/03/1995;Tribunal Pleno;"HABEAS CORPUS - IMPETRAÇÃO REDIGIDA EM LINGUA ESPANHOLA -EXTRADIÇÃO - FORMULAÇÃO DE PEDIDO DE CLEMENCIA AO PRESIDENTE DAREPUBLICA - AUSÊNCIA DE INDICAÇÃO DE ATO CONFIGURADOR DE ILEGALIDADEOU ABUSO DE PODER - HC NÃO CONHECIDO.           - E INQUESTIONAVEL O DIREITO DE SUDITOS ESTRANGEIROSAJUIZAREM, EM CAUSA PROPRIA, A AÇÃO DE HABEAS CORPUS, EIS QUE ESSEREMEDIO CONSTITUCIONAL - POR QUALIFICAR-SE COMO VERDADEIRA AÇÃOPOPULAR - PODE SER UTILIZADO POR QUALQUER PESSOA, INDEPENDENTEMENTEDA CONDIÇÃO JURÍDICA RESULTANTE DE SUA ORIGEM NACIONAL.           - A PETIÇÃO COM QUE IMPETRADO O HABEAS CORPUS DEVE SERREDIGIDA EM PORTUGUES, SOB PENA DE NÃO-CONHECIMENTO DO WRITCONSTITUCIONAL (CPC, ART. 156, C/C CPP, ART. 3.), EIS QUE O CONTEUDODESSA PECA PROCESSUAL DEVE SER ACESSIVEL A TODOS, SENDO IRRELEVANTE,PARA ESSE EFEITO, QUE O JUIZ DA CAUSA CONHECA, EVENTUALMENTE, OIDIOMA ESTRANGEIRO UTILIZADO PELO IMPETRANTE.           A IMPRESCINDIBILIDADE DO USO DO IDIOMA NACIONAL NOS ATOSPROCESSUAIS, ALÉM DE CORRESPONDER A UMA EXIGÊNCIA QUE DECORRE DERAZOES VINCULADAS A PROPRIA SOBERANIA NACIONAL, CONSTITUI PROJEÇÃOCONCRETIZADORA DA NORMA INSCRITA NO ART. 13, CAPUT, DA CARTA FEDERAL,QUE PROCLAMA SER A LINGUA PORTUGUESA ""O IDIOMA OFICIAL DA REPUBLICAFEDERATIVA DO BRASIL"".           - NÃO HÁ COMO ADMITIR O PROCESSAMENTO DA AÇÃO DE HABEASCORPUS SE O IMPETRANTE DEIXA DE ATRIBUIR A AUTORIDADE APONTADA COMOCOATORA A PRATICA DE ATO CONCRETO QUE EVIDENCIE A OCORRENCIA DE UMESPECIFICO COMPORTAMENTO ABUSIVO OU REVESTIDO DE ILEGALIDADE.           - O EXERCÍCIO DA CLEMENCIA SOBERANA DO ESTADO NÃO SEESTENDE, EM NOSSO DIREITO POSITIVO, AOS PROCESSOS DE EXTRADIÇÃO, EISQUE O OBJETO DA INDULGENTIA PRINCIPIS REESTRINGE-SE, EXCLUSIVAMENTE,AO PLANO DOS ILICITOS PENAIS SUJEITOS A COMPETÊNCIA JURISDICIONAL DOESTADO BRASILEIRO.           O PRESIDENTE DA REPUBLICA - QUE CONSTITUI, NAS SITUAÇÕESREFERIDAS NO ART. 89 DO ESTATUTO DO ESTRANGEIRO, O ÚNICO ARBITRO DACONVENIENCIA E OPORTUNIDADE DA ENTREGA DO EXTRADITANDO AO ESTADOREQUERENTE - NÃO PODE SER CONSTRANGIDO A ABSTER-SE DO EXERCÍCIO DESSAPRERROGATIVA INSTITUCIONAL QUE SE ACHA SUJEITA AO DOMÍNIO ESPECIFICODE SUAS FUNÇÕES COMO CHEFE DE ESTADO."
HC 72133;NÉRI DA SILVEIRA;03/03/2000;22/02/1995;Tribunal Pleno;EMENTA: - Habeas corpus. 2. Constrangimento injustodecorrente do exequatur concedido em carta rogatória. 3. Decisãorevogada pelo Ministro-Presidente, em recebendo os embargos dopaciente, reformando, pois, o despacho anterior, que o concedera. 4.Habeas corpus prejudicado.
HC 72086;SEPÚLVEDA PERTENCE;31/03/1995;15/02/1995;Tribunal Pleno;"E  M E N T A: ""Habeas-corpus"": demora injustificavel naremessa  de  agravo  de   instrumento  contra  indeferimento  de  RE:conhecimento como reclamação, que se julga procedente."
HC 72063;CARLOS VELLOSO;31/03/1995;15/02/1995;Tribunal Pleno;EMENTA:  PENAL.  PROCESSUAL   PENAL.  PRESCRIÇÃO.  CÓDIGOELEITORAL. ART. 334. COD. PENAL, ART. 109, V.            I.  - Pena de  6 (seis)  meses a 1  (um) ano de detenção:prescrição em 4 (quatro) anos (Cod. Penal, art. 109, V).            II. - H.C. deferido.
HC 72022;NÉRI DA SILVEIRA;28/04/1995;09/02/1995;Tribunal Pleno;CRIME MILITAR - ENUMERAÇÃO - NATUREZA - OS CRIMES MILITARESSITUAM-SE  NO  CAMPO  DA  EXCEÇÃO.  AS  NORMAS  EM  QUE PREVISTOS SÃOEXAUSTIVAS.  JUNGIDOS AO PRINCÍPIO CONSTITUCIONAL DA RESERVA LEGAL -INCISO XXXIX DO ARTIGO 5. DA CARTA DE 1988 - HAO DE ESTAR TIPIFICADOSEM DISPOSITIVO  PRÓPRIO, A MERECER INTERPRETAÇÃO ESTRITA.          COMPETÊNCIA  -  HOMICIDIO  -  AGENTE:  MILITAR DA RESERVA -VÍTIMA:  POLICIAL  MILITAR  EM SERVIÇO. AINDA QUE EM SERVIÇO A VÍTIMA - POLICIAL  MILITAR, E NÃO MILITAR PROPRIAMENTE DITO - A COMPETÊNCIAE  DA  JUSTIÇA  COMUM.  INTERPRETAÇÃO  SISTEMATICA  E  TEOLOGICA  DOSPRECEITOS CONSTITUCIONAIS E LEGAIS REGEDORES DA ESPÉCIE.
HC 71927;NÉRI DA SILVEIRA;02/06/2000;02/02/1995;Tribunal Pleno;EMENTA: Habeas corpus. 2. Retirada do paciente doterritório nacional, já efetuada, em virtude da execução do acórdãodo STF, que deferiu a extradição, nos termos aludidos no relatório.3. Não há, pois, a esta altura, falar em excesso de prazo de prisãodo paciente ou para sua retirada do país e entrega às autoridades doEstado requerente. 4. Habeas corpus prejudicado.
HC 71161;SEPÚLVEDA PERTENCE;12/05/1995;19/12/1994;Tribunal Pleno;"HABEAS CORPUS: FALTA DE JUSTA CAUSA PARA A CONDENAÇÃO: CASODE CABIMENTO E PROCEDENCIA.          NO PROCEDIMENTO SUMARIO E DOCUMENTAL DO HABEAS-CORPUS, NÃOCABE INVERTER, MEDIANTE REAVALIAÇÃO DE PROVAS CONTROVERTIDAS, OSUPOSTO DE FATO QUE HAJA CONSTITUIDO A PREMISSA MENOR DO SILOGISMOJUDICIAL DA DECISÃO CONDENATÓRIA QUE SE PRETENDA CARENTE DE JUSTACAUSA; NELE, CONTUDO, E LICITO VERIFICAR - QUANDO A VERIFICAÇÃO NÃORECLAMA O DESLINDE DE CONTROVERSIAS SOBRE PROVAS DE SIGNIFICAÇÃOEQUIVOCA-, A INEXISTÊNCIA MATERIAL DE PROVA NECESSARIA A CONSTRUÇÃODO SUPOSTO DE FATO DA DECISÃO COATORA."
HC 71113;MOREIRA ALVES;30/05/1997;02/12/1994;Tribunal Pleno;"EMENTA: Habeas corpus. Competência. Impetração que visa acassar decisão do Conselho Superior da Magistratura do Tribunal deJustiça do Estado de São Paulo.- Tendo em vista que a competência do Supremo TribunalFederal, em se tratando de habeas corpus, se estabeleceu com baseestritamente no disposto na letra ""i"" do inciso I do artigo 102 daConstituição Federal, que não se aplica ao caso, a solução a serdada à presente hipótese será a de se ter como competente o SuperiorTribunal de Justiça, porquanto, se seria ele competente para julgarhabeas corpus quanto a atos do Presidente do Conselho, deverá sê-lotambém para os atos do próprio Conselho, a fim de que este não fiquesujeito a órgão julgador de hierarquia inferior ao que estásubmetido seu Presidente.Habeas corpus não conhecido, determinando-se a remessa dosautos ao Superior Tribunal de Justiça."
HC 72116 QO;NÉRI DA SILVEIRA;02/06/2000;02/12/1994;Tribunal Pleno;"EMENTA: Habeas corpus. 2. A autoridade coatora não se enquadra emnenhuma das hipóteses de competência originária deste Tribunal paraprocessar e julgar o habeas corpus. Art. 102, I, ""i"", da ConstituiçãoFederal. 3. Habeas corpus não conhecido e determinado o arquivamento dopedido, por inépcia da inicial."
HC 71919;ILMAR GALVÃO;24/02/1995;23/11/1994;Tribunal Pleno;PENAL. HABEAS CORPUS. EXPULSAO. FILHOS BRASILEIROS. PROVADE GUARDA E DEPENDÊNCIA ECONÔMICA. AUSÊNCIA.           O PACIENTE, CIDADAO PERUANO, CONDENADO PELA JUSTIÇABRASILEIRA, NÃO GOZA DO DIREITO DE PERMANECER EM TERRITÓRIO NACIONAL,COM FUNDAMENTO NO ART. 75, II, B, DA LEI N. 6.815/80, SE NÃODEMONSTRAQUE OS SEUS FILHOS AQUI NASCIDOS ESTAO SOB SUA GUARDA EDEPENDÊNCIA   ECONÔMICA. NA ESPÉCIE, ALÉM DA FRAGILIDADE DA PROVATRAZIDA AOS AUTOS,CONFORTA A CONVICÇÃO DE QUE NÃO SE ENCONTRAMPRESENTES OS REQUISITOS  LEGAIS DA LEI DE ESTRANGEIROS, O FATO DE OREQUERENTE, COMO CONSTA DOSAUTOS, JA TER SIDO ANTERIORMENTE EXPULSO,DEVIDO A CONDENAÇÃO POR     CRIME DE FURTO, EVIDENCIANDO, SEM PROVAIDONEA EM SENTIDO CONTRARIO,  QUE, HÁ MUITO, NÃO EXISTE O VINCULOFAMILIAR LEGALMENTE EXIGIDO.      .          HABEAS CORPUSINDEFERIDO.                                 .
HC 71568;MARCO AURÉLIO;24/02/1995;23/11/1994;Tribunal Pleno;EXPULSAO  -   DECRETO  CONDENATÓRIO   -  PRESCRIÇÃO  DAPRETENSAO  PUNITIVA DO ESTADO. Se  a expulsão lastreia-se em juízo deoportunidade e conveniencia, latente a atividade politica do Chefe doPoder  Executivo, o fato  de concluir-se pela prescrição da pretensãopunitiva  do  Estado quanto  a  ação  penal que  desaguou  em decretocondenatório não esvazia o decreto de expulsão.             EXPULSAO - CONCUBINATO - NASCIMENTO DE FILHO - par. 1.DO ARTIGO  75 DA LEI N. 6.815/80. O preceito do referido paragrafo háde ter  interpretação  consentanea  com  o  fim  visado.  O  fato  deo nascimento  do filho haver ocorrido após os motivos que alicercarama expulsão  e inidoneo a fulmina-la, quando não comprovada aexistência do  convivio familiar em data preterita e o citadonascimento exsurge como resultado de busca a criação de obstaculosuficiente a expulsão. Na  hipótese, não  se  logrou demonstrar  queo Paciente,  antes dos acontecimentos  ensejadores  da  expulsão,ja  convivia,  de  forma estavel, com a Impetrante, mãe do filhoregistrado.                   .
HC 71373;FRANCISCO REZEK;22/11/1996;10/11/1994;Tribunal Pleno;"INVESTIGAÇÃO DE PATERNIDADE - EXAME DNA - CONDUÇÃO DORÉU ""DEBAIXO DE VARA"". Discrepa, a mais não poder, de garantiasconstitucionais implícitas e explícitas - preservação da dignidadehumana, da intimidade, da intangibilidade do corpo humano, doimpério da lei e da inexecução específica e direta de obrigação defazer - provimento judicial que, em ação civil de investigação depaternidade, implique determinação no sentido de o réu ser conduzidoao laboratório, ""debaixo de vara"", para coleta do materialindispensável à feitura do exame DNA. A recusa resolve-se no planojurídico-instrumental, consideradas a dogmática, a doutrina e ajurisprudência, no que voltadas ao deslinde das questões ligadas àprova dos fatos."
HC 71935;MOREIRA ALVES;09/06/1995;27/10/1994;Tribunal Pleno;"EMENTA: ""Habeas corpus"". Expulsão.          -  Os  fundamentos de  que  os motivos  que  determinaram aexpulsão  do ora paciente eram insuficientes e de que ele e refugiadopolítico  são mera reiteração  de alegações semelhantes não acolhidaspor esta Corte em ""habeas corpus"" anteriores.          - Se, em conformidade com o disposto no artigo 75, par. 1.,da Lei 6.815/80 (com a redação dada pela Lei n. 6.964/91), a adoçãoou reconhecimento de filho brasileiro superveniente ao fato quemotivara  expulsão não constituem  impedimento a ela,  o nascimentode filho brasileiro  muitos anos  após a edição  do decreto  deexpulsão não e motivo  legal  para a  revogação  deste, revogaçãoessa  que depende sempre  do juízo  de conveniencia  do  Presidenteda  Republica, como decidiu  esta  Corte no  HC  68.324,  relator oSr.  Ministro Sydney Sanches.          ""Habeas corpus"" conhecido em parte, e nela indeferido."
HC 71713;SEPÚLVEDA PERTENCE;23/03/2001;26/10/1994;Tribunal Pleno;"EMENTA:  - I. STF: competência originária: ""habeas-corpus""contra coação imputada a turma de recursos dos juizados especiais(CF, art. 98, I). 1.     Na determinação da competência dos Tribunais paraconhecer de ""habeas-corpus"" contra coação imputada a órgãos do PoderJudiciário, quando silente a Constituição, o critério decisivo não éo da superposição administrativa ou o da competência penaloriginária para julgar o magistrado coator ou integrante docolegiado respectivo, mas sim o da hierarquia jurisdicional (cf. HC71.524, questão de ordem, Plen., 10.10.94, M. Alves). 2.     Os tribunais estaduais não exercem jurisdição sobre asdecisões das turmas de recurso dos juizados especiais, as quais sesujeitam imediata e exclusivamente à do Supremo Tribunal, dada acompetência deste, e só dele, para revê-las, mediante recursoextraordinário (cf. Recl. 470, Plen., 10.2.94, Pertence): donde sópoder tocar ao S.T.F. a competência originária para conhecer de""habeas-corpus"" contra coação a elas atribuída.3.      Votos vencidos no sentido da competência do Tribunal deJustiça do Estado.II.     Juizado especial: competência penal: ""infraçõespenais de menor potencial ofensivo"": critério e competêncialegislativa para defini-las: exigência de lei federal. 1.     As penas cominadas pela lei penal traduzem presumidamentea dimensão do potencial ofensivo das infrações penais, sendolegítimo, portanto, que as tome a lei como parâmetro da competênciado Juizado Especial.2.      A matéria, contudo, é de processo penal, da competência legislativa exclusiva da União.3.      Dada a distinção conceitual entre os juizados especiais eos juizados de pequenas causas (cf. STF, ADIn 1.127, cautelar,28.9.94, Brossard), aos primeiros não se aplica o art. 24, X, daConstituição, que outorga competência concorrente ao Estado-membropara legislar sobre o processo perante os últimos.4.      Conseqüente inconstitucionalidade da lei estadual que, naausência de lei federal a respeito, outorga competência penal ajuizados especiais e lhe demarca o âmbito material."
HC 71524 QO;NÉRI DA SILVEIRA;23/03/2001;10/10/1994;Tribunal Pleno;"EMENTA: Questão de ordem. Competência.- Competente para julgar ""habeas corpus"" contra ato doVice-Presidente de Tribunal de Alçada é o Superior Tribunal deJustiça.Questão de ordem que se resolve pela competência doSuperior Tribunal de Justiça com a determinação da remessa do""habeas corpus"" à referida Corte."
HC 71298;PAULO BROSSARD;27/10/1994;31/08/1994;Tribunal Pleno;"EMENTA:  ""HABEAS-CORPUS"". EXPULSAO  DE ESTRANGEIRO. DIREITODE PERMANECER NO BRASIL: ART. 75 DA LEI DE ESTRANGEIROS. PROVAS.          Inexiste  nos autos  comprovação  de que  o  paciente tenhaconjuge  ou companheira brasileira, há  mais de 5 anos, e da qual nãoesteja  divorciado ou separado, art. 71, II, ""a"", da Lei n. 6.815/80,com a redação determinada pelo art. 11 da Lei n. 6.964/81.          Não  há prova de que  a filha esteja sob sua guarda. Tambémnão  há comprovação de  que o paciente  tenha qualquer fonte de rendalicita,  nem que a  filha dele  dependa economicamente; ao contrario,sofreu condenações por roubo e furto qualificados, totalizando 9 anose  4 meses de reclusão, dos  quais cumpriu pouco mais de 3 anos, art.71, II, ""b"", da mesma lei.          ""Habeas-corpus"" conhecido, mas indeferido."
HC 70274 ED-EDv-AgR;CELSO DE MELLO;09/12/1994;25/08/1994;Tribunal Pleno;EMENTA:  - EMBARGOS DE DIVERGÊNCIA - FINALIDADE JURÍDICO-PROCESSUAL- INTERPOSIÇÃO CONTRA ACÓRDÃO PROFERIDO POR TURMA DO SUPREMO TRIBUNALFEDERAL EM SEDE DE HABEAS CORPUS - DESCABIMENTO - INTERVENÇÃO DOASSISTENTE DO MINISTÉRIO PÚBLICO EM PROCESSO DE HABEAS CORPUS -CONSIDERAÇÕES - AGRAVO REGIMENTAL IMPROVIDO.           - Não cabem embargos de divergência contra decisão proferida porTurma do Supremo Tribunal Federal em  Habeas Corpus, seja em sede de impetraçãooriginária  (CF, art. 102, I, D E I), seja em sede de Recurso Ordinária (CF, art. 102, II, A).Precedentes.
HC 71135;CARLOS VELLOSO;30/09/1994;01/07/1994;Tribunal Pleno;"EMENTA:  - PENAL. PROCESSUAL  PENAL. ""HABEAS CORPUS"". CRIMEDE ROUBO: CONSUMAÇÃO. PENA: FIXAÇÃO.          I.  - Crime de  roubo: consuma-se quando o agente, medianteviolência  ou grave  ameaça, consegue  retirar a  coisa da  esfera devigilancia da vítima.          II. - O ""habeas corpus"" não se presta para discutir fixaçãoda pena.          III. - H.C. indeferido."
HC 71128;NÉRI DA SILVEIRA;19/04/1996;01/07/1994;Tribunal Pleno;HABEAS CORPUS. LEI N. 6368/1976, ART. 12.          2. ALEGAÇÃO DO PACIENTE DE SER VÍTIMA DE PERSEGUIÇÃO E DEINJUSTIÇA. 3. NÃO CABE, EM HABEAS CORPUS, DISCUTIR OS ASPECTOS DEFATO CONCERNENTES A CONDENAÇÃO DO PACIENTE, INEXISTINDO, ADEMAIS,ELEMENTOS A INDICAREM A INJUSTA PERSEGUIÇÃO DE QUE SE QUEIXA.  4.REVISÃO CRIMINAL EM PROCESSAMENTO. 5. HABEAS CORPUS INDEFERIDO.
HC 71310;CARLOS VELLOSO;23/09/1994;01/07/1994;Tribunal Pleno;"EMENTA: - PROCESSUAL PENAL. HABEAS CORPUS. CAUSA DE PEDIR.          I.  - A causa  de pedir não  foi apreciada pelo Tribunal deJustiça  no julgamento  da revisão.  Sua competência  para apreciar ejulgar o ""habeas corpus"".          II. - H.C. não conhecido."
HC 71610;SEPÚLVEDA PERTENCE;30/03/2001;30/06/1994;Tribunal Pleno;"E M E N T A: Prisão processual: excesso de prazo após oencerramento da instrução: admissibilidade em tese e improcedênciano caso concreto.1.      O encerramento da instrução criminal supera o excesso deprazo para a prisão processual que antes se tivesse verificado, masnão elide o que acaso se caracterize pelo posterior e injustificadoretardamento do término do processo. 2.     Quando um dos co-réus não requereu diligênciascomplementares da instrução, mas, ante o deferimento das requeridaspelos outros, não postulou o desdobramento do processo (CPrPen, art.80), improcede a alegação de que, com relação ao primeiro, o termoinicial para as fases posteriores se devesse contar desde a aberturada vista para pedi-las.3.      Cuidando-se de processo contra nove denunciados por fatosde histórica e notória complexidade, só o retardamento abusivo dojulgamento, fruto de inércia e desídia é que induziria à libertaçãopor excesso de prazo para a prisão preventiva de réu cujocomportamento fugitivo, mundo afora, após confirmada pelo plenáriodo STF a decisão que a decretou, é motivo bastante para a suasubsistência por razões de ordem puramente cautelar; não há cogitar,porém, de retardamento abusivo, quando, nas circunstâncias - graçasao ingente esforço do Relator na presidência da instrução e noestudo do caso - em tempo mais que razoável, as centenas de volumesdos autos e dos seus apensos já passaram às mãos do Revisor."
HC 70873;ILMAR GALVÃO;23/09/1994;30/06/1994;Tribunal Pleno;EMENTA:  PENAL. HABEAS  CORPUS.  REINCIDENCIA. COMPROVAÇÃO.CONCURSO DE CIRCUNSTANCIAS. MENORIDADE. CONCESSÃO DE OFICIO.          A  folha de  antecedentes  criminais expedida  pela PoliciaCivil  e idonea  a comprovar  reincidencia,  até prova  em contrario,quando  dela constem  as informações  necessarias a  identificação dacondenação anterior e de seu trânsito em julgado.          A  sentença que não  examina a repercussão da menoridade doacusado,  mas considera, para  efeito de  agravamento da pena-base, areincidencia,  não pode  subsistir por  causar prejuizo  manifesto aopaciente, especialmente se considerado que aquela atenuante prevalecesobre  as circunstancias  objetivas  contrarias, inclusive  a propriareincidencia. Precedente (HC n. 66.605).          Pedido indeferido, concedendo-se, no entanto, habeas corpusde  oficio para,  sem prejuizo  da condenação,  anular a  sentença naparte  em que fixada a  pena, determinando-se ao juízo competente queoutra seja prolatada, considerando-se a menoridade.
